id,tipo,individual,esquema
847,2,1,http://dummyimage.com/104x140.bmp/ff4444/ffffff
216,2,0,http://dummyimage.com/161x213.png/5fa2dd/ffffff
923,1,0,http://dummyimage.com/168x205.jpg/cc0000/ffffff
876,1,1,http://dummyimage.com/114x115.bmp/dddddd/000000
294,1,0,http://dummyimage.com/204x125.jpg/ff4444/ffffff
959,1,1,http://dummyimage.com/221x167.jpg/ff4444/ffffff
102,1,0,http://dummyimage.com/241x217.jpg/dddddd/000000
826,0,0,http://dummyimage.com/143x222.png/5fa2dd/ffffff
733,2,1,http://dummyimage.com/188x101.bmp/5fa2dd/ffffff
952,0,1,http://dummyimage.com/159x231.jpg/dddddd/000000
718,1,0,http://dummyimage.com/220x199.bmp/ff4444/ffffff
536,1,1,http://dummyimage.com/106x219.png/5fa2dd/ffffff
934,0,0,http://dummyimage.com/142x116.bmp/5fa2dd/ffffff
922,0,0,http://dummyimage.com/231x214.png/dddddd/000000
591,1,1,http://dummyimage.com/220x187.png/dddddd/000000
139,1,0,http://dummyimage.com/118x151.bmp/ff4444/ffffff
653,0,1,http://dummyimage.com/177x150.jpg/ff4444/ffffff
243,1,1,http://dummyimage.com/165x226.jpg/ff4444/ffffff
826,1,0,http://dummyimage.com/123x140.bmp/dddddd/000000
845,1,1,http://dummyimage.com/123x232.jpg/5fa2dd/ffffff
468,1,1,http://dummyimage.com/107x129.png/5fa2dd/ffffff
148,2,1,http://dummyimage.com/170x176.jpg/cc0000/ffffff
377,1,1,http://dummyimage.com/178x178.jpg/ff4444/ffffff
772,1,0,http://dummyimage.com/213x168.png/ff4444/ffffff
9,0,0,http://dummyimage.com/127x245.jpg/dddddd/000000
570,0,1,http://dummyimage.com/112x130.png/5fa2dd/ffffff
507,1,0,http://dummyimage.com/121x194.bmp/dddddd/000000
198,0,0,http://dummyimage.com/250x184.bmp/dddddd/000000
797,2,1,http://dummyimage.com/173x179.png/5fa2dd/ffffff
220,0,1,http://dummyimage.com/194x187.bmp/cc0000/ffffff
911,0,0,http://dummyimage.com/190x105.bmp/5fa2dd/ffffff
121,0,1,http://dummyimage.com/219x186.bmp/ff4444/ffffff
674,1,1,http://dummyimage.com/238x118.png/ff4444/ffffff
238,1,1,http://dummyimage.com/160x234.png/cc0000/ffffff
918,2,0,http://dummyimage.com/107x161.jpg/5fa2dd/ffffff
410,2,1,http://dummyimage.com/144x250.jpg/ff4444/ffffff
515,0,0,http://dummyimage.com/222x203.png/dddddd/000000
813,2,0,http://dummyimage.com/249x201.bmp/dddddd/000000
849,2,1,http://dummyimage.com/164x196.png/dddddd/000000
570,2,0,http://dummyimage.com/243x240.bmp/5fa2dd/ffffff
101,2,0,http://dummyimage.com/231x130.bmp/ff4444/ffffff
539,0,0,http://dummyimage.com/114x178.jpg/ff4444/ffffff
726,0,1,http://dummyimage.com/140x223.jpg/5fa2dd/ffffff
981,0,1,http://dummyimage.com/218x160.jpg/ff4444/ffffff
695,1,1,http://dummyimage.com/203x205.bmp/dddddd/000000
713,0,0,http://dummyimage.com/167x181.png/5fa2dd/ffffff
570,0,0,http://dummyimage.com/179x182.jpg/dddddd/000000
100,2,0,http://dummyimage.com/151x191.bmp/5fa2dd/ffffff
608,1,0,http://dummyimage.com/190x157.bmp/dddddd/000000
929,0,1,http://dummyimage.com/195x162.png/ff4444/ffffff
690,1,1,http://dummyimage.com/243x162.png/cc0000/ffffff
427,2,1,http://dummyimage.com/218x234.png/5fa2dd/ffffff
786,2,0,http://dummyimage.com/221x237.jpg/5fa2dd/ffffff
479,1,1,http://dummyimage.com/239x139.jpg/ff4444/ffffff
140,0,1,http://dummyimage.com/131x154.bmp/cc0000/ffffff
